job_minsal,user_ctc,min_salary_score
Rs 16 - 18 Lakh / Yr,Rs 4.0 - 4.5 Lakh / Yr,0.040816327
Rs 16 - 18 Lakh / Yr,Rs 4.5 - 5.0 Lakh / Yr,0.020408163
Rs 16 - 18 Lakh / Yr,Rs 42 - 44 Lakh / Yr,0.006802721
Rs 16 - 18 Lakh / Yr,Rs 48 - 50 Lakh / Yr,0.003401361
Rs 16 - 18 Lakh / Yr,Rs 5 - 6 Lakh / Yr,0.040816327
Rs 16 - 18 Lakh / Yr,Rs 50 - 50 Lakh / Yr,0.006802721
Rs 16 - 18 Lakh / Yr,"Rs 50,000 - 1 Lakh / Yr",0.003401361
Rs 16 - 18 Lakh / Yr,Rs 6 - 7 Lakh / Yr,0.057823129
Rs 16 - 18 Lakh / Yr,Rs 7 - 8 Lakh / Yr,0.030612245
Rs 16 - 18 Lakh / Yr,Rs 8 - 9 Lakh / Yr,0.034013605
Rs 16 - 18 Lakh / Yr,Rs 9 - 10 Lakh / Yr,0.027210884
Rs 18 - 20 Lakh / Yr,Rs 0 / Yr,0.050505051
Rs 18 - 20 Lakh / Yr,Rs 1.0 - 1.5 Lakh / Yr,0.008080808
Rs 18 - 20 Lakh / Yr,Rs 1.5 - 2.0 Lakh / Yr,0.004040404
Rs 18 - 20 Lakh / Yr,Rs 10 - 12 Lakh / Yr,0.068686869
Rs 18 - 20 Lakh / Yr,Rs 12 - 14 Lakh / Yr,0.072727273
Rs 18 - 20 Lakh / Yr,Rs 14 - 16 Lakh / Yr,0.054545455
Rs 18 - 20 Lakh / Yr,Rs 16 - 18 Lakh / Yr,0.034343434
Rs 18 - 20 Lakh / Yr,Rs 18 - 20 Lakh / Yr,0.086868687
Rs 18 - 20 Lakh / Yr,Rs 2.0 - 2.5 Lakh / Yr,0.026262626
Rs 18 - 20 Lakh / Yr,Rs 2.5 - 3.0 Lakh / Yr,0.006060606
Rs 18 - 20 Lakh / Yr,Rs 20 - 22 Lakh / Yr,0.048484848
Rs 18 - 20 Lakh / Yr,Rs 22 - 24 Lakh / Yr,0.03030303
Rs 18 - 20 Lakh / Yr,Rs 24 - 26 Lakh / Yr,0.068686869
Rs 18 - 20 Lakh / Yr,Rs 26 - 28 Lakh / Yr,0.02020202
Rs 18 - 20 Lakh / Yr,Rs 28 - 30 Lakh / Yr,0.002020202
Rs 18 - 20 Lakh / Yr,Rs 3.0 - 3.5 Lakh / Yr,0.022222222
Rs 18 - 20 Lakh / Yr,Rs 3.5 - 4.0 Lakh / Yr,0.016161616
Rs 18 - 20 Lakh / Yr,Rs 30 - 32 Lakh / Yr,0.050505051
Rs 18 - 20 Lakh / Yr,Rs 32 - 34 Lakh / Yr,0.006060606
Rs 18 - 20 Lakh / Yr,Rs 34 - 36 Lakh / Yr,0.012121212
Rs 18 - 20 Lakh / Yr,Rs 36 - 38 Lakh / Yr,0.006060606
Rs 18 - 20 Lakh / Yr,Rs 38 - 40 Lakh / Yr,0.006060606
Rs 18 - 20 Lakh / Yr,Rs 4.0 - 4.5 Lakh / Yr,0.032323232
Rs 18 - 20 Lakh / Yr,Rs 4.5 - 5.0 Lakh / Yr,0.014141414
Rs 18 - 20 Lakh / Yr,Rs 40 - 42 Lakh / Yr,0.006060606
Rs 18 - 20 Lakh / Yr,Rs 42 - 44 Lakh / Yr,0.004040404
Rs 18 - 20 Lakh / Yr,Rs 44 - 46 Lakh / Yr,0.002020202
Rs 18 - 20 Lakh / Yr,Rs 46 - 48 Lakh / Yr,0.004040404
Rs 18 - 20 Lakh / Yr,Rs 48 - 50 Lakh / Yr,0.006060606
Rs 18 - 20 Lakh / Yr,Rs 5 - 6 Lakh / Yr,0.050505051
Rs 18 - 20 Lakh / Yr,Rs 50 - 50 Lakh / Yr,0.048484848
Rs 18 - 20 Lakh / Yr,"Rs 50,000 - 1 Lakh / Yr",0.002020202
Rs 18 - 20 Lakh / Yr,Rs 6 - 7 Lakh / Yr,0.044444444
Rs 18 - 20 Lakh / Yr,Rs 7 - 8 Lakh / Yr,0.026262626
Rs 18 - 20 Lakh / Yr,Rs 8 - 9 Lakh / Yr,0.028282828
Rs 18 - 20 Lakh / Yr,Rs 9 - 10 Lakh / Yr,0.03030303
Rs 2.0 - 2.5 Lakh / Yr,"< Rs 50,000 / Yr",0.003108895
Rs 2.0 - 2.5 Lakh / Yr,Rs 0 / Yr,0.29396791
Rs 2.0 - 2.5 Lakh / Yr,Rs 1.0 - 1.5 Lakh / Yr,0.116969558
Rs 2.0 - 2.5 Lakh / Yr,Rs 1.5 - 2.0 Lakh / Yr,0.076011434
Rs 2.0 - 2.5 Lakh / Yr,Rs 10 - 12 Lakh / Yr,0.006030004
Rs 2.0 - 2.5 Lakh / Yr,Rs 12 - 14 Lakh / Yr,0.003275815
Rs 2.0 - 2.5 Lakh / Yr,Rs 14 - 16 Lakh / Yr,0.002336887
Rs 2.0 - 2.5 Lakh / Yr,Rs 16 - 18 Lakh / Yr,0.000918063
Rs 2.0 - 2.5 Lakh / Yr,Rs 18 - 20 Lakh / Yr,0.001001523
Rs 2.0 - 2.5 Lakh / Yr,Rs 2.0 - 2.5 Lakh / Yr,0.171239594
Rs 2.0 - 2.5 Lakh / Yr,Rs 2.5 - 3.0 Lakh / Yr,0.061468483
Rs 2.0 - 2.5 Lakh / Yr,Rs 20 - 22 Lakh / Yr,0.001064118
Rs 2.0 - 2.5 Lakh / Yr,Rs 22 - 24 Lakh / Yr,0.000229516
Rs 2.0 - 2.5 Lakh / Yr,Rs 24 - 26 Lakh / Yr,0.000605087
Rs 2.0 - 2.5 Lakh / Yr,Rs 26 - 28 Lakh / Yr,8.35E-05
Rs 2.0 - 2.5 Lakh / Yr,Rs 28 - 30 Lakh / Yr,0.00012519
Rs 2.0 - 2.5 Lakh / Yr,Rs 3.0 - 3.5 Lakh / Yr,0.104763494
Rs 2.0 - 2.5 Lakh / Yr,Rs 3.5 - 4.0 Lakh / Yr,0.042982035
Rs 2.0 - 2.5 Lakh / Yr,Rs 30 - 32 Lakh / Yr,0.000396436
Rs 2.0 - 2.5 Lakh / Yr,Rs 32 - 34 Lakh / Yr,4.17E-05
Rs 2.0 - 2.5 Lakh / Yr,Rs 34 - 36 Lakh / Yr,0.000354706
Rs 2.0 - 2.5 Lakh / Yr,Rs 36 - 38 Lakh / Yr,0.00012519
Rs 2.0 - 2.5 Lakh / Yr,Rs 38 - 40 Lakh / Yr,4.17E-05
Rs 2.0 - 2.5 Lakh / Yr,Rs 4.0 - 4.5 Lakh / Yr,0.038767292
Rs 2.0 - 2.5 Lakh / Yr,Rs 4.5 - 5.0 Lakh / Yr,0.015231498
Rs 2.0 - 2.5 Lakh / Yr,Rs 40 - 42 Lakh / Yr,8.35E-05
Rs 2.0 - 2.5 Lakh / Yr,Rs 44 - 46 Lakh / Yr,4.17E-05
Rs 2.0 - 2.5 Lakh / Yr,Rs 46 - 48 Lakh / Yr,4.17E-05
Rs 2.0 - 2.5 Lakh / Yr,Rs 48 - 50 Lakh / Yr,8.35E-05
Rs 2.0 - 2.5 Lakh / Yr,Rs 5 - 6 Lakh / Yr,0.018611639
Rs 2.0 - 2.5 Lakh / Yr,Rs 50 - 50 Lakh / Yr,0.001189309
Rs 2.0 - 2.5 Lakh / Yr,"Rs 50,000 - 1 Lakh / Yr",0.015356688
Rs 2.0 - 2.5 Lakh / Yr,Rs 6 - 7 Lakh / Yr,0.009869176
Rs 2.0 - 2.5 Lakh / Yr,Rs 7 - 8 Lakh / Yr,0.005863083
Rs 2.0 - 2.5 Lakh / Yr,Rs 8 - 9 Lakh / Yr,0.00490329
Rs 2.0 - 2.5 Lakh / Yr,Rs 9 - 10 Lakh / Yr,0.002816784
Rs 2.5 - 3.0 Lakh / Yr,"< Rs 50,000 / Yr",0.000789751
Rs 2.5 - 3.0 Lakh / Yr,Rs 0 / Yr,0.183222183
Rs 2.5 - 3.0 Lakh / Yr,Rs 1.0 - 1.5 Lakh / Yr,0.061951562
Rs 2.5 - 3.0 Lakh / Yr,Rs 1.5 - 2.0 Lakh / Yr,0.063531064
Rs 2.5 - 3.0 Lakh / Yr,Rs 10 - 12 Lakh / Yr,0.006756757
Rs 2.5 - 3.0 Lakh / Yr,Rs 12 - 14 Lakh / Yr,0.004914005
Rs 2.5 - 3.0 Lakh / Yr,Rs 14 - 16 Lakh / Yr,0.003159003
Rs 2.5 - 3.0 Lakh / Yr,Rs 16 - 18 Lakh / Yr,0.000702001
Rs 2.5 - 3.0 Lakh / Yr,Rs 18 - 20 Lakh / Yr,0.001755002
Rs 2.5 - 3.0 Lakh / Yr,Rs 2.0 - 2.5 Lakh / Yr,0.135222885
Rs 2.5 - 3.0 Lakh / Yr,Rs 2.5 - 3.0 Lakh / Yr,0.113022113
Rs 2.5 - 3.0 Lakh / Yr,Rs 20 - 22 Lakh / Yr,0.001404001
Rs 2.5 - 3.0 Lakh / Yr,Rs 22 - 24 Lakh / Yr,0.0001755
Rs 2.5 - 3.0 Lakh / Yr,Rs 24 - 26 Lakh / Yr,0.000614251
Rs 2.5 - 3.0 Lakh / Yr,Rs 26 - 28 Lakh / Yr,0.00026325
Rs 2.5 - 3.0 Lakh / Yr,Rs 28 - 30 Lakh / Yr,0.000526501
Rs 2.5 - 3.0 Lakh / Yr,Rs 3.0 - 3.5 Lakh / Yr,0.164443664
Rs 2.5 - 3.0 Lakh / Yr,Rs 3.5 - 4.0 Lakh / Yr,0.074499824
Rs 2.5 - 3.0 Lakh / Yr,Rs 30 - 32 Lakh / Yr,0.000789751
Rs 2.5 - 3.0 Lakh / Yr,Rs 34 - 36 Lakh / Yr,0.00026325
Rs 2.5 - 3.0 Lakh / Yr,Rs 4.0 - 4.5 Lakh / Yr,0.063882064
Rs 2.5 - 3.0 Lakh / Yr,Rs 4.5 - 5.0 Lakh / Yr,0.025886276
Rs 2.5 - 3.0 Lakh / Yr,Rs 40 - 42 Lakh / Yr,0.00026325
Rs 2.5 - 3.0 Lakh / Yr,Rs 44 - 46 Lakh / Yr,8.78E-05
Rs 2.5 - 3.0 Lakh / Yr,Rs 48 - 50 Lakh / Yr,8.78E-05
Rs 2.5 - 3.0 Lakh / Yr,Rs 5 - 6 Lakh / Yr,0.038610039
Rs 2.5 - 3.0 Lakh / Yr,Rs 50 - 50 Lakh / Yr,0.000877501
Rs 2.5 - 3.0 Lakh / Yr,"Rs 50,000 - 1 Lakh / Yr",0.006230256
Rs 2.5 - 3.0 Lakh / Yr,Rs 6 - 7 Lakh / Yr,0.022815023
Rs 2.5 - 3.0 Lakh / Yr,Rs 7 - 8 Lakh / Yr,0.00982801
Rs 2.5 - 3.0 Lakh / Yr,Rs 8 - 9 Lakh / Yr,0.008511759
Rs 2.5 - 3.0 Lakh / Yr,Rs 9 - 10 Lakh / Yr,0.004914005
Rs 20 - 22 Lakh / Yr,Rs 0 / Yr,0.079452055
Rs 20 - 22 Lakh / Yr,Rs 1.0 - 1.5 Lakh / Yr,0.019178082
Rs 20 - 22 Lakh / Yr,Rs 1.5 - 2.0 Lakh / Yr,0.008219178
Rs 20 - 22 Lakh / Yr,Rs 10 - 12 Lakh / Yr,0.04109589
Rs 20 - 22 Lakh / Yr,Rs 12 - 14 Lakh / Yr,0.087671233
Rs 20 - 22 Lakh / Yr,Rs 14 - 16 Lakh / Yr,0.090410959
Rs 20 - 22 Lakh / Yr,Rs 16 - 18 Lakh / Yr,0.043835616
Rs 20 - 22 Lakh / Yr,Rs 18 - 20 Lakh / Yr,0.073972603
Rs 20 - 22 Lakh / Yr,Rs 2.0 - 2.5 Lakh / Yr,0.046575342
Rs 20 - 22 Lakh / Yr,Rs 2.5 - 3.0 Lakh / Yr,0.024657534
Rs 20 - 22 Lakh / Yr,Rs 20 - 22 Lakh / Yr,0.054794521
Rs 20 - 22 Lakh / Yr,Rs 22 - 24 Lakh / Yr,0.038356164
Rs 20 - 22 Lakh / Yr,Rs 24 - 26 Lakh / Yr,0.082191781
Rs 20 - 22 Lakh / Yr,Rs 26 - 28 Lakh / Yr,0.01369863
Rs 20 - 22 Lakh / Yr,Rs 28 - 30 Lakh / Yr,0.010958904
Rs 20 - 22 Lakh / Yr,Rs 3.0 - 3.5 Lakh / Yr,0.024657534
Rs 20 - 22 Lakh / Yr,Rs 3.5 - 4.0 Lakh / Yr,0.035616438
Rs 20 - 22 Lakh / Yr,Rs 30 - 32 Lakh / Yr,0.019178082
Rs 20 - 22 Lakh / Yr,Rs 34 - 36 Lakh / Yr,0.010958904
Rs 20 - 22 Lakh / Yr,Rs 36 - 38 Lakh / Yr,0.002739726
Rs 20 - 22 Lakh / Yr,Rs 38 - 40 Lakh / Yr,0.010958904
Rs 20 - 22 Lakh / Yr,Rs 4.0 - 4.5 Lakh / Yr,0.030136986
Rs 20 - 22 Lakh / Yr,Rs 4.5 - 5.0 Lakh / Yr,0.019178082
Rs 20 - 22 Lakh / Yr,Rs 40 - 42 Lakh / Yr,0.005479452
Rs 20 - 22 Lakh / Yr,Rs 48 - 50 Lakh / Yr,0.002739726
Rs 20 - 22 Lakh / Yr,Rs 5 - 6 Lakh / Yr,0.02739726
Rs 20 - 22 Lakh / Yr,Rs 50 - 50 Lakh / Yr,0.005479452
Rs 20 - 22 Lakh / Yr,"Rs 50,000 - 1 Lakh / Yr",0.008219178
Rs 20 - 22 Lakh / Yr,Rs 6 - 7 Lakh / Yr,0.019178082
Rs 20 - 22 Lakh / Yr,Rs 7 - 8 Lakh / Yr,0.032876712
Rs 20 - 22 Lakh / Yr,Rs 8 - 9 Lakh / Yr,0.016438356
Rs 20 - 22 Lakh / Yr,Rs 9 - 10 Lakh / Yr,0.01369863
Rs 22 - 24 Lakh / Yr,Rs 0 / Yr,0.110655738
Rs 22 - 24 Lakh / Yr,Rs 1.0 - 1.5 Lakh / Yr,0.069672131
Rs 22 - 24 Lakh / Yr,Rs 1.5 - 2.0 Lakh / Yr,0.028688525
Rs 22 - 24 Lakh / Yr,Rs 10 - 12 Lakh / Yr,0.045081967
Rs 22 - 24 Lakh / Yr,Rs 12 - 14 Lakh / Yr,0.045081967
Rs 22 - 24 Lakh / Yr,Rs 14 - 16 Lakh / Yr,0.045081967
Rs 22 - 24 Lakh / Yr,Rs 16 - 18 Lakh / Yr,0.032786885
Rs 22 - 24 Lakh / Yr,Rs 18 - 20 Lakh / Yr,0.040983607
Rs 22 - 24 Lakh / Yr,Rs 2.0 - 2.5 Lakh / Yr,0.057377049
Rs 22 - 24 Lakh / Yr,Rs 2.5 - 3.0 Lakh / Yr,0.032786885
Rs 22 - 24 Lakh / Yr,Rs 20 - 22 Lakh / Yr,0.049180328
Rs 22 - 24 Lakh / Yr,Rs 22 - 24 Lakh / Yr,0.053278689
Rs 22 - 24 Lakh / Yr,Rs 24 - 26 Lakh / Yr,0.073770492
Rs 22 - 24 Lakh / Yr,Rs 26 - 28 Lakh / Yr,0.032786885
Rs 22 - 24 Lakh / Yr,Rs 28 - 30 Lakh / Yr,0.020491803
Rs 22 - 24 Lakh / Yr,Rs 3.0 - 3.5 Lakh / Yr,0.020491803
Rs 22 - 24 Lakh / Yr,Rs 3.5 - 4.0 Lakh / Yr,0.024590164
Rs 22 - 24 Lakh / Yr,Rs 30 - 32 Lakh / Yr,0.020491803
Rs 22 - 24 Lakh / Yr,Rs 32 - 34 Lakh / Yr,0.032786885
Rs 22 - 24 Lakh / Yr,Rs 34 - 36 Lakh / Yr,0.012295082
Rs 22 - 24 Lakh / Yr,Rs 36 - 38 Lakh / Yr,0.004098361
Rs 22 - 24 Lakh / Yr,Rs 4.0 - 4.5 Lakh / Yr,0.008196721
Rs 22 - 24 Lakh / Yr,Rs 40 - 42 Lakh / Yr,0.016393443
Rs 22 - 24 Lakh / Yr,Rs 44 - 46 Lakh / Yr,0.008196721
Rs 22 - 24 Lakh / Yr,Rs 48 - 50 Lakh / Yr,0.004098361
Rs 22 - 24 Lakh / Yr,Rs 5 - 6 Lakh / Yr,0.020491803
Rs 22 - 24 Lakh / Yr,Rs 50 - 50 Lakh / Yr,0.024590164
Rs 22 - 24 Lakh / Yr,Rs 6 - 7 Lakh / Yr,0.032786885
Rs 22 - 24 Lakh / Yr,Rs 7 - 8 Lakh / Yr,0.004098361
Rs 22 - 24 Lakh / Yr,Rs 8 - 9 Lakh / Yr,0.012295082
Rs 22 - 24 Lakh / Yr,Rs 9 - 10 Lakh / Yr,0.016393443
Rs 24 - 26 Lakh / Yr,"< Rs 50,000 / Yr",0.012345679
Rs 24 - 26 Lakh / Yr,Rs 0 / Yr,0.055555556
Rs 24 - 26 Lakh / Yr,Rs 1.0 - 1.5 Lakh / Yr,0.024691358
Rs 24 - 26 Lakh / Yr,Rs 1.5 - 2.0 Lakh / Yr,0.00617284
Rs 24 - 26 Lakh / Yr,Rs 10 - 12 Lakh / Yr,0.049382716
Rs 24 - 26 Lakh / Yr,Rs 12 - 14 Lakh / Yr,0.049382716
Rs 24 - 26 Lakh / Yr,Rs 14 - 16 Lakh / Yr,0.037037037
Rs 24 - 26 Lakh / Yr,Rs 16 - 18 Lakh / Yr,0.030864198
Rs 24 - 26 Lakh / Yr,Rs 18 - 20 Lakh / Yr,0.080246914
Rs 24 - 26 Lakh / Yr,Rs 2.0 - 2.5 Lakh / Yr,0.012345679
Rs 24 - 26 Lakh / Yr,Rs 20 - 22 Lakh / Yr,0.018518519
Rs 24 - 26 Lakh / Yr,Rs 22 - 24 Lakh / Yr,0.030864198
Rs 24 - 26 Lakh / Yr,Rs 24 - 26 Lakh / Yr,0.086419753
Rs 24 - 26 Lakh / Yr,Rs 26 - 28 Lakh / Yr,0.024691358
Rs 24 - 26 Lakh / Yr,Rs 28 - 30 Lakh / Yr,0.030864198
Rs 24 - 26 Lakh / Yr,Rs 3.0 - 3.5 Lakh / Yr,0.024691358
Rs 24 - 26 Lakh / Yr,Rs 3.5 - 4.0 Lakh / Yr,0.018518519
Rs 24 - 26 Lakh / Yr,Rs 30 - 32 Lakh / Yr,0.049382716
Rs 24 - 26 Lakh / Yr,Rs 36 - 38 Lakh / Yr,0.024691358
Rs 24 - 26 Lakh / Yr,Rs 38 - 40 Lakh / Yr,0.00617284
Rs 24 - 26 Lakh / Yr,Rs 4.0 - 4.5 Lakh / Yr,0.037037037
Rs 24 - 26 Lakh / Yr,Rs 4.5 - 5.0 Lakh / Yr,0.037037037
Rs 24 - 26 Lakh / Yr,Rs 40 - 42 Lakh / Yr,0.018518519
Rs 24 - 26 Lakh / Yr,Rs 42 - 44 Lakh / Yr,0.00617284
Rs 24 - 26 Lakh / Yr,Rs 44 - 46 Lakh / Yr,0.018518519
Rs 24 - 26 Lakh / Yr,Rs 5 - 6 Lakh / Yr,0.037037037
Rs 24 - 26 Lakh / Yr,Rs 50 - 50 Lakh / Yr,0.030864198
Rs 24 - 26 Lakh / Yr,Rs 6 - 7 Lakh / Yr,0.043209877
Rs 24 - 26 Lakh / Yr,Rs 7 - 8 Lakh / Yr,0.049382716
Rs 24 - 26 Lakh / Yr,Rs 8 - 9 Lakh / Yr,0.030864198
Rs 24 - 26 Lakh / Yr,Rs 9 - 10 Lakh / Yr,0.018518519
Rs 26 - 28 Lakh / Yr,Rs 12 - 14 Lakh / Yr,0.055555556
Rs 26 - 28 Lakh / Yr,Rs 14 - 16 Lakh / Yr,0.055555556
Rs 26 - 28 Lakh / Yr,Rs 18 - 20 Lakh / Yr,0.055555556
Rs 26 - 28 Lakh / Yr,Rs 2.0 - 2.5 Lakh / Yr,0.111111111
Rs 26 - 28 Lakh / Yr,Rs 2.5 - 3.0 Lakh / Yr,0.111111111
Rs 26 - 28 Lakh / Yr,Rs 22 - 24 Lakh / Yr,0.055555556
Rs 26 - 28 Lakh / Yr,Rs 24 - 26 Lakh / Yr,0.055555556
Rs 26 - 28 Lakh / Yr,Rs 26 - 28 Lakh / Yr,0.055555556
Rs 26 - 28 Lakh / Yr,Rs 3.0 - 3.5 Lakh / Yr,0.111111111
Rs 26 - 28 Lakh / Yr,Rs 3.5 - 4.0 Lakh / Yr,0.055555556
Rs 26 - 28 Lakh / Yr,Rs 34 - 36 Lakh / Yr,0.055555556
Rs 26 - 28 Lakh / Yr,Rs 38 - 40 Lakh / Yr,0.055555556
Rs 26 - 28 Lakh / Yr,Rs 4.5 - 5.0 Lakh / Yr,0.055555556
Rs 26 - 28 Lakh / Yr,Rs 5 - 6 Lakh / Yr,0.055555556
Rs 26 - 28 Lakh / Yr,Rs 6 - 7 Lakh / Yr,0.055555556
Rs 28 - 30 Lakh / Yr,Rs 0 / Yr,0.151515152
Rs 28 - 30 Lakh / Yr,Rs 1.5 - 2.0 Lakh / Yr,0.060606061
Rs 28 - 30 Lakh / Yr,Rs 10 - 12 Lakh / Yr,0.03030303
Rs 28 - 30 Lakh / Yr,Rs 14 - 16 Lakh / Yr,0.03030303
